1245,3,3,0
4429,171,159,0
8263,255,91,0
11161,231,124,0
25633,242,182,0
30232,247,104,0
38280,235,219,0
42537,55,206,7
43972,5,9,234
46358,193,213,14
47840,205,139,13
48574,206,21,12
49156,118,13,30
49724,49,11,163
50252,14,162,111
50808,14,162,111
51468,63,162,14
52184,61,164,10
53040,161,159,25
53718,197,107,4
80648,255,201,0
100094,243,195,4
100883,0,0,0
169923,0,0,0
172313,0,9,10
176946,0,0,0
199801,0,0,0
203138,0,12,17
212613,0,0,0
216257,0,55,63
219856,0,0,0
221841,0,145,165
224847,5,13,36
226217,0,0,0
228405,0,145,165
229246,0,188,214
230086,0,218,249
230962,0,249,134
234122,218,252,47
247391,216,252,47
248969,252,150,7
250435,252,66,0
251880,252,3,3
253225,252,0,43
254589,252,0,122
255854,252,0,201
257319,142,0,252
258925,0,0,252
260828,0,165,252
262776,0,252,73
263974,61,252,51
263974,206,252,0
266827,206,252,0
268155,0,158,252
269467,252,51,11
270597,194,234,5
284996,193,234,5
286042,242,55,8
287224,193,234,5
293020,247,255,0
314849,255,171,0
338157,255,171,0
339735,0,0,0
-
1248,3,3,0
4432,171,159,0
8266,255,91,0
11164,231,124,0
25636,242,182,0
30235,247,104,0
38283,235,219,0
42540,55,206,7
43975,27,30,201
46361,197,218,15
47843,205,139,13
48577,206,21,12
49159,118,11,27
49727,49,11,163
50255,14,162,111
50811,14,162,111
51471,63,162,14
52187,61,164,10
53043,161,159,25
53738,202,110,5
80651,255,198,0
100061,243,195,5
100886,0,0,0
169926,0,0,0
172316,0,9,10
176949,0,0,0
199804,0,0,0
203141,0,12,17
212616,0,0,0
216260,0,55,63
219859,0,0,0
221844,0,145,165
224850,5,13,36
226220,0,0,0
228408,0,145,165
229249,0,188,214
230089,0,218,249
230965,0,249,134
234125,217,252,47
247391,216,252,47
248972,252,150,7
250438,252,66,0
251883,252,3,3
253228,252,0,43
254592,252,0,122
255857,252,0,201
257322,142,0,252
258928,0,0,252
260831,0,165,252
262779,0,252,73
263974,61,252,51
263974,206,252,0
266830,207,252,0
268158,0,158,252
269470,252,51,11
270600,194,234,5
284995,193,234,5
286041,242,55,8
287223,193,234,5
293023,247,255,0
314852,255,171,0
338157,255,171,0
339735,0,0,0
